Area Number,Name,Coordinates
1,Rogers Park,42d0.6m0s 87d40.2m0s
2,West Ridge,42d00m0s 87d41.4m0s
3,Uptown,41d58.2m0s 87d39.6m0s
4,Lincoln Square,41d58.2m0s 87d41.4m0s
5,North Center,41d57m0s 87d40.8m0s
6,Lake View,41d56.61m0s 87d39.25m0s
7,Lincoln Park,41d55.2m0s 87d39m0s
8,Near North Side,41d54m0s 87d37.8m0s
9,Edison Park,42d0.6m0s 87d48.6m0s
10,Norwood Park,41d58.8m0s 87d48.0m0s
11,Jefferson Park,41d58.8m0s 87d46.2m0s
12,Forest Glen,41d59m0s 87d45m0s
13,North Park,41d57.0m0s 87d40.8m0s
14,Albany Park,41d58.2m0s 87d43.2m0s
15,Portage Park,41d57m0s 87d45.6m0s
16,Irving Park,41d57m0s 87d43.8m0s
17,Dunning,41d57m0s 87d48.6m0s
18,Montclare,41d55.8m0s 87d48m0s
19,Belmont Cragin,41d55.8m0s 87d45.6m0s
20,Hermosa,41d55.2m0s 87d43.8m0s
21,Avondale,41d56.4m0s 87d42.6m0s
22,Logan Square,41d55.7m0s 87d42.4m0s
23,Humboldt Park,41d52.8m0s 87d42m0s
24,West Town,41d54m0s 87d40.8m0s
25,Austin,41d54m0s 87d45.6m0s
26,West Garfield Park,41d52.8m0s 87d43.8m0s
27,East Garfield Park,41d52.8m0s 87d42m0s
28,Near West Side,41d52.2m0s 87d40.2m0s
29,North Lawndale,41d51.6m0s 87d42.6m0s
30,South Lawndale,41d51.0m0s 87d42.6m0s
31,Lower West Side,41d51m0s 87d39.6m0s
32,Loop,41d53m0s 87d38m0s
33,Near South Side,41d51.0m0s 87d37.2m0s
34,Armour Square,41d50.0m0s 87d38.0m0s
35,Douglas,41d49.8m0s 87d37.2m0s
36,Oakland,41d49.2m0s 87d36.0m0s
37,Fuller Park,41d48.6m0s 87d37.6m0s
38,Grand Boulevard,41d48.6m0s 87d37.2m0s
39,Kenwood,41d48.6m0s 87d36.0m0s
40,Washington Park,41d47.4m0s 87d37.2m0s
41,Hyde Park,41d48m0s 87d35.4m0s
42,Woodlawn,41d46.8m0s 87d36m0s
43,South Shore,41d45.6m0s 87d34.8m0s
44,Chatham,41d44m24s 87d36m42s
45,Avalon Park,41d45m0s 87d35.4m0s
46,South Chicago,41d44.4m0s 87d33m0s
47,Burnside,41d43.8m0s 87d36m0s
48,Calumet Heights,41d43m42s 87d34m47s
49,Roseland,41d42.6m0s 87d37.2m0s
50,Pullman,41d42.6m0s 87d37.2m0s
51,South Deering,41d42.6m0s 87d33.6m0s
52,East Side,41d42.0m0s 87d33.6m0s
53,West Pullman,41d40.8m0s 87d37.8m0s
54,Riverdale,41d39.6m0s 87d36.6m0s
55,Hegewisch,41d39.6m0s 87d33.0m0s
56,Garfield Ridge,41d49.0m0s 87d45.6m0s
57,Archer Heights,41d48.6m0s 87d43.8m0s
58,Brighton Park,41d49.2m0s 87d42.0m0s
59,McKinley Park,41.830d0m0s 87.670d0m0s
60,Bridgeport,41d50.4m0s 87d39.0m0s
61,New City,41d48.6m0s 87d39.6m0s
62,West Elsdon,41d47.4m0s 87d43.2m0s
63,Gage Park,41d47.4m0s 87d41.4m0s
64,Clearing,41d46.8m0s 87d45.6m0s
65,West Lawn,41d46.2m0s 87d43.2m0s
66,Chicago Lawn,41d46.2m0s 87d41.4m0s
67,West Englewood,41d46.8m0s 87d40.2m0s
68,Englewood,41d46m47.23s 87d38m41.2s
69,Greater Grand Crossing,41d45.6m0s 87d36.6m0s
70,Ashburn,41d45.0m0s 87d42.6m0s
71,Auburn Gresham,41d44.4m0s 87d39.6m0s
72,Beverly,41d42.6m0s 87d40.8m0s
73,Washington Heights,41d43.2m0s 87d39.0m0s
74,Mount Greenwood,41d42.0m0s 87d42.6m0s
75,Morgan Park,41d41.4m0s 87d40.2m0s
76,O'Hare,42d00.0m0s 87d55.2m0s
77,Edgewater,41d59.4m0s 87d39.6m0s
